symptom,code,description,source_name,source_link,root_url
unresponsiveness,C0241526,"Etiology
Increase in Central Venous Pressure During Passive Leg Raising Cannot Detect Preload Unresponsiveness.
Hamzaoui O,
Gouëzel C,
Jozwiak M,
Millereux M,
Sztrymf B,
Prat D,
Jacobs F,
Monnet X,
Trouiller P,
Teboul JL
Crit Care Med
2020 Aug;48(8):e684-e689.
doi: 10.1097/CCM.0000000000004414.
PMID: 32697509

Shock and unresponsiveness to repeated courses of intravenous immunoglobulin in Kawasaki disease: a nationwide database study.
Liang YC,
Chang CH,
Lin MT,
Kao FY,
Huang SK,
Wu MH
Pediatr Res
2020 Apr;87(5):961-966.
Epub 2019 Nov 11
doi: 10.1038/s41390-019-0668-1.
PMID: 31711068

Spoken words are processed during dexmedetomidine-induced unresponsiveness.
Kallionpää RE,
Scheinin A,
Kallionpää RA,
Sandman N,
Kallioinen M,
Laitio R,
Laitio T,
Kaskinoro K,
Kuusela T,
Revonsuo A,
Scheinin H,
Valli K
Br J Anaesth
2018 Jul;121(1):270-280.
Epub 2018 May 23
doi: 10.1016/j.bja.2018.04.032.
PMID: 29935582

Early sustained unresponsiveness after short-course egg oral immunotherapy: a randomized controlled study in egg-allergic children.
Escudero C,
Rodríguez Del Río P,
Sánchez-García S,
Pérez-Rangel I,
Pérez-Farinós N,
García-Fernández C,
Ibáñez MD
Clin Exp Allergy
2015 Dec;45(12):1833-43.
doi: 10.1111/cea.12604.
PMID: 26236997

Comparison of the Full Outline of UnResponsiveness score and the Glasgow Coma Scale in predicting mortality in critically ill patients*.
Wijdicks EF,
Kramer AA,
Rohs T Jr,
Hanna S,
Sadaka F,
O'Brien J,
Bible S,
Dickess SM,
Foss M
Crit Care Med
2015 Feb;43(2):439-44.
doi: 10.1097/CCM.0000000000000707.
PMID: 25393699
See all (910)
Diagnosis
Quantitative assessments of pupillary light reflexes in hospital-onset unresponsiveness.
Lee H,
Choi SH,
Park B,
Hong YH,
Lee HB,
Jeon SB
BMC Neurol
2021 Jun 24;21(1):234.
doi: 10.1186/s12883-021-02275-9.
PMID: 34167470Free PMC Article

Increase in Central Venous Pressure During Passive Leg Raising Cannot Detect Preload Unresponsiveness.
Hamzaoui O,
Gouëzel C,
Jozwiak M,
Millereux M,
Sztrymf B,
Prat D,
Jacobs F,
Monnet X,
Trouiller P,
Teboul JL
Crit Care Med
2020 Aug;48(8):e684-e689.
doi: 10.1097/CCM.0000000000004414.
PMID: 32697509

Construct validity and reliability of the Full Outline of UnResponsiveness (FOUR) score in spontaneous subarachnoid haemorrhage caused by aneurysm rupture.
Oh H,
Shin S,
Kim S,
Seo W
J Clin Nurs
2019 Nov;28(21-22):3776-3785.
Epub 2019 Aug 9
doi: 10.1111/jocn.14877.
PMID: 30939215

Early sustained unresponsiveness after short-course egg oral immunotherapy: a randomized controlled study in egg-allergic children.
Escudero C,
Rodríguez Del Río P,
Sánchez-García S,
Pérez-Rangel I,
Pérez-Farinós N,
García-Fernández C,
Ibáñez MD
Clin Exp Allergy
2015 Dec;45(12):1833-43.
doi: 10.1111/cea.12604.
PMID: 26236997

Comparison of the Full Outline of UnResponsiveness score and the Glasgow Coma Scale in predicting mortality in critically ill patients*.
Wijdicks EF,
Kramer AA,
Rohs T Jr,
Hanna S,
Sadaka F,
O'Brien J,
Bible S,
Dickess SM,
Foss M
Crit Care Med
2015 Feb;43(2):439-44.
doi: 10.1097/CCM.0000000000000707.
PMID: 25393699
See all (916)
Therapy
Study protocol of a phase 2, dual-centre, randomised, controlled trial evaluating the effectiveness of probiotic and egg oral immunotherapy at inducing desensitisation or sustained unresponsiveness (remission) in participants with egg allergy compared with placebo (Probiotic Egg Allergen Oral Immunotherapy for Treatment of Egg Allergy: PEAT study).
Loke P,
Chebar Lozinsky A,
Orsini F,
Wong LS,
Leung AS,
Tham EH,
Lopata AL,
Shek LP,
Tang ML;
PEAT study team.
BMJ Open
2021 Jul 7;11(7):e044331.
doi: 10.1136/bmjopen-2020-044331.
PMID: 34233966Free PMC Article

Alpha band frontal connectivity is a state-specific electroencephalographic correlate of unresponsiveness during exposure to dexmedetomidine and propofol.
Kallionpää RE,
Valli K,
Scheinin A,
Långsjö J,
Maksimow A,
Vahlberg T,
Revonsuo A,
Scheinin H,
Mashour GA,
Li D
Br J Anaesth
2020 Oct;125(4):518-528.
Epub 2020 Aug 7
doi: 10.1016/j.bja.2020.05.068.
PMID: 32773216

Shock and unresponsiveness to repeated courses of intravenous immunoglobulin in Kawasaki disease: a nationwide database study.
Liang YC,
Chang CH,
Lin MT,
Kao FY,
Huang SK,
Wu MH
Pediatr Res
2020 Apr;87(5):961-966.
Epub 2019 Nov 11
doi: 10.1038/s41390-019-0668-1.
PMID: 31711068

Spoken words are processed during dexmedetomidine-induced unresponsiveness.
Kallionpää RE,
Scheinin A,
Kallionpää RA,
Sandman N,
Kallioinen M,
Laitio R,
Laitio T,
Kaskinoro K,
Kuusela T,
Revonsuo A,
Scheinin H,
Valli K
Br J Anaesth
2018 Jul;121(1):270-280.
Epub 2018 May 23
doi: 10.1016/j.bja.2018.04.032.
PMID: 29935582

Early sustained unresponsiveness after short-course egg oral immunotherapy: a randomized controlled study in egg-allergic children.
Escudero C,
Rodríguez Del Río P,
Sánchez-García S,
Pérez-Rangel I,
Pérez-Farinós N,
García-Fernández C,
Ibáñez MD
Clin Exp Allergy
2015 Dec;45(12):1833-43.
doi: 10.1111/cea.12604.
PMID: 26236997
See all (1148)
Prognosis
Quantitative assessments of pupillary light reflexes in hospital-onset unresponsiveness.
Lee H,
Choi SH,
Park B,
Hong YH,
Lee HB,
Jeon SB
BMC Neurol
2021 Jun 24;21(1):234.
doi: 10.1186/s12883-021-02275-9.
PMID: 34167470Free PMC Article

Increase in Central Venous Pressure During Passive Leg Raising Cannot Detect Preload Unresponsiveness.
Hamzaoui O,
Gouëzel C,
Jozwiak M,
Millereux M,
Sztrymf B,
Prat D,
Jacobs F,
Monnet X,
Trouiller P,
Teboul JL
Crit Care Med
2020 Aug;48(8):e684-e689.
doi: 10.1097/CCM.0000000000004414.
PMID: 32697509

Shock and unresponsiveness to repeated courses of intravenous immunoglobulin in Kawasaki disease: a nationwide database study.
Liang YC,
Chang CH,
Lin MT,
Kao FY,
Huang SK,
Wu MH
Pediatr Res
2020 Apr;87(5):961-966.
Epub 2019 Nov 11
doi: 10.1038/s41390-019-0668-1.
PMID: 31711068

Construct validity and reliability of the Full Outline of UnResponsiveness (FOUR) score in spontaneous subarachnoid haemorrhage caused by aneurysm rupture.
Oh H,
Shin S,
Kim S,
Seo W
J Clin Nurs
2019 Nov;28(21-22):3776-3785.
Epub 2019 Aug 9
doi: 10.1111/jocn.14877.
PMID: 30939215

Comparison of the Full Outline of UnResponsiveness score and the Glasgow Coma Scale in predicting mortality in critically ill patients*.
Wijdicks EF,
Kramer AA,
Rohs T Jr,
Hanna S,
Sadaka F,
O'Brien J,
Bible S,
Dickess SM,
Foss M
Crit Care Med
2015 Feb;43(2):439-44.
doi: 10.1097/CCM.0000000000000707.
PMID: 25393699
See all (675)
Clinical prediction guides
Quantitative assessments of pupillary light reflexes in hospital-onset unresponsiveness.
Lee H,
Choi SH,
Park B,
Hong YH,
Lee HB,
Jeon SB
BMC Neurol
2021 Jun 24;21(1):234.
doi: 10.1186/s12883-021-02275-9.
PMID: 34167470Free PMC Article

Alpha band frontal connectivity is a state-specific electroencephalographic correlate of unresponsiveness during exposure to dexmedetomidine and propofol.
Kallionpää RE,
Valli K,
Scheinin A,
Långsjö J,
Maksimow A,
Vahlberg T,
Revonsuo A,
Scheinin H,
Mashour GA,
Li D
Br J Anaesth
2020 Oct;125(4):518-528.
Epub 2020 Aug 7
doi: 10.1016/j.bja.2020.05.068.
PMID: 32773216

Shock and unresponsiveness to repeated courses of intravenous immunoglobulin in Kawasaki disease: a nationwide database study.
Liang YC,
Chang CH,
Lin MT,
Kao FY,
Huang SK,
Wu MH
Pediatr Res
2020 Apr;87(5):961-966.
Epub 2019 Nov 11
doi: 10.1038/s41390-019-0668-1.
PMID: 31711068

Construct validity and reliability of the Full Outline of UnResponsiveness (FOUR) score in spontaneous subarachnoid haemorrhage caused by aneurysm rupture.
Oh H,
Shin S,
Kim S,
Seo W
J Clin Nurs
2019 Nov;28(21-22):3776-3785.
Epub 2019 Aug 9
doi: 10.1111/jocn.14877.
PMID: 30939215

Spoken words are processed during dexmedetomidine-induced unresponsiveness.
Kallionpää RE,
Scheinin A,
Kallionpää RA,
Sandman N,
Kallioinen M,
Laitio R,
Laitio T,
Kaskinoro K,
Kuusela T,
Revonsuo A,
Scheinin H,
Valli K
Br J Anaesth
2018 Jul;121(1):270-280.
Epub 2018 May 23
doi: 10.1016/j.bja.2018.04.032.
PMID: 29935582
See all (941)
",Increase in Central Venous Pressure During Passive Leg Raising Cannot Detect Preload Unresponsiveness.,/pubmed/32697509,https://www.ncbi.nlm.nih.gov/medgen/?term=C0241526
mental status changes,C0856054,An alteration in the mental status of an individual. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0856054
vertigo,C0042571,An abnormal sensation of spinning while the body is actually stationary. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0042571
vomiting,C0042963,Forceful ejection of the contents of the stomach through the mouth by means of a series of involuntary spasmic contractions. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0042963
labored breathing,C0553668,Breathing that requires observed effort or an increased amount of energy. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0553668
feeling suicidal,C0424000,Frequent thinking about or preoccupation with killing oneself. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0424000
suicidal,C0438696,"Etiology
Prevalence of suicidal ideation and suicide attempts among refugees: a meta-analysis.
Haase E,
Schönfelder A,
Nesterko Y,
Glaesmer H
BMC Public Health
2022 Apr 1;22(1):635.
doi: 10.1186/s12889-022-13029-8.
PMID: 35365108Free PMC Article

Nightmares mediate the association between traumatic event exposure and suicidal ideation in frontline medical workers exposed to COVID-19.
Que JY,
Shi L,
Yan W,
Chen SJ,
Wu P,
Sun SW,
Yuan K,
Liu ZC,
Zhu Z,
Fan JY,
Lu Y,
Hu B,
Xiao H,
Liu ZS,
Li Y,
Wang GH,
Wang W,
Ran MS,
Shi J,
Wing YK,
Bao YP,
Lu L
J Affect Disord
2022 May 1;304:12-19.
Epub 2022 Feb 15
doi: 10.1016/j.jad.2022.02.033.
PMID: 35176338Free PMC Article

Depressive symptoms as a mediator between perceived social support and suicidal ideation among Chinese adolescents.
Wan LP,
Yang XF,
Liu BP,
Zhang YY,
Liu XC,
Jia CX,
Wang XT
J Affect Disord
2022 Apr 1;302:234-240.
Epub 2022 Jan 25
doi: 10.1016/j.jad.2022.01.061.
PMID: 35090945

Socio-demographic, economic and mental health problems were risk factors for suicidal ideation among Kenyan students aged 15 plus.
Ndetei DM,
Mutiso VN,
Weisz JR,
Okoth CA,
Musyimi C,
Muia EN,
Osborn TL,
Sourander A,
Wasserman D,
Mamah D
J Affect Disord
2022 Apr 1;302:74-82.
Epub 2022 Jan 12
doi: 10.1016/j.jad.2022.01.055.
PMID: 35032509

Using the integrated motivational-volitional (IMV) model of suicidal behaviour to differentiate those with and without suicidal intent in hospital treated self-harm.
Cleare S,
Wetherall K,
Eschle S,
Forrester R,
Drummond J,
O'Connor RC
Prev Med
2021 Nov;152(Pt 1):106592.
Epub 2021 Sep 16
doi: 10.1016/j.ypmed.2021.106592.
PMID: 34538374
See all (18485)
Diagnosis
Socio-demographic, economic and mental health problems were risk factors for suicidal ideation among Kenyan students aged 15 plus.
Ndetei DM,
Mutiso VN,
Weisz JR,
Okoth CA,
Musyimi C,
Muia EN,
Osborn TL,
Sourander A,
Wasserman D,
Mamah D
J Affect Disord
2022 Apr 1;302:74-82.
Epub 2022 Jan 12
doi: 10.1016/j.jad.2022.01.055.
PMID: 35032509

Effects of the COVID-19 pandemic on suicidal ideation in a representative Australian population sample-Longitudinal cohort study.
Batterham PJ,
Calear AL,
Shou Y,
Farrer LM,
Gulliver A,
McCallum SM,
Dawel A
J Affect Disord
2022 Mar 1;300:385-391.
Epub 2022 Jan 4
doi: 10.1016/j.jad.2022.01.022.
PMID: 34995704Free PMC Article

Multi-informant reports of depressive symptoms and suicidal ideation among adolescent inpatients.
Augenstein TM,
Visser KF,
Gallagher K,
De Los Reyes A,
D'Angelo EJ,
Nock MK
Suicide Life Threat Behav
2022 Feb;52(1):99-109.
Epub 2021 Oct 5
doi: 10.1111/sltb.12803.
PMID: 34608660

The Changes and the Predictors of Suicidal Ideation Among HIV-positive Sexual Minority Men: A Five-year Longitudinal Study from China.
Luo R,
Silenzio VMB,
Huang Y,
Chen X,
Luo D
AIDS Behav
2022 Feb;26(2):339-349.
Epub 2021 Jul 31
doi: 10.1007/s10461-021-03387-6.
PMID: 34331609Free PMC Article

Meaning in life as a mediator of the associations among depression, hopelessness and suicidal ideation: A path analysis.
Sun FK,
Wu MK,
Yao Y,
Chiang CY,
Lu CY
J Psychiatr Ment Health Nurs
2022 Feb;29(1):57-66.
Epub 2021 Feb 26
doi: 10.1111/jpm.12739.
PMID: 33559221
See all (8155)
Therapy
Parental education and youth suicidal behaviours: a systematic review and meta-analysis.
Chen PJ,
Mackes N,
Sacchi C,
Lawrence AJ,
Ma X,
Pollard R,
Matter M,
Morgan C,
Harding S,
Schumann G,
Pariante C,
Mehta MA,
Montana G,
Nosarti C,
Dazzan P
Epidemiol Psychiatr Sci
2022 Mar 30;31:e19.
doi: 10.1017/S204579602200004X.
PMID: 35352676

Risk and Protective Factors in Adolescent Suicidal Behaviour: A Network Analysis.
Fonseca-Pedrero E,
Al-Halabí S,
Pérez-Albéniz A,
Debbané M
Int J Environ Res Public Health
2022 Feb 4;19(3)
doi: 10.3390/ijerph19031784.
PMID: 35162805Free PMC Article

Gender-specific risk relationship between heavy alcohol use/alcohol use disorders and suicidal thoughts and behavior among adults in the United States over time.
Lange S,
Jiang H,
Bagge C,
Probst C,
Tran A,
Rehm J
Soc Psychiatry Psychiatr Epidemiol
2022 Apr;57(4):721-726.
Epub 2022 Jan 15
doi: 10.1007/s00127-022-02225-x.
PMID: 35032174Free PMC Article

School bullying associated suicidal risk in children and adolescents from Yunnan, China: The mediation of social support.
Xiao Y,
Ran H,
Fang D,
Che Y,
Donald AR,
Wang S,
Peng J,
Chen L,
Lu J
J Affect Disord
2022 Mar 1;300:392-399.
Epub 2022 Jan 5
doi: 10.1016/j.jad.2022.01.032.
PMID: 34998803

Behavioural activation and trial-based cognitive therapy may be beneficial to reduce suicidal ideation in major depressive disorder: A post hoc study from a clinical trial.
Hemanny C,
Sena EP,
de Oliveira IR
J Clin Pharm Ther
2022 Jan;47(1):46-54.
Epub 2021 Oct 7
doi: 10.1111/jcpt.13535.
PMID: 34617303
See all (5777)
Prognosis
Socio-demographic, economic and mental health problems were risk factors for suicidal ideation among Kenyan students aged 15 plus.
Ndetei DM,
Mutiso VN,
Weisz JR,
Okoth CA,
Musyimi C,
Muia EN,
Osborn TL,
Sourander A,
Wasserman D,
Mamah D
J Affect Disord
2022 Apr 1;302:74-82.
Epub 2022 Jan 12
doi: 10.1016/j.jad.2022.01.055.
PMID: 35032509

Suicidal ideation: Prevalence and risk factors during pregnancy.
Legazpi PCC,
Rodríguez-Muñoz MF,
Le HN,
Balbuena CS,
Olivares ME,
Méndez NI
Midwifery
2022 Mar;106:103226.
Epub 2021 Dec 26
doi: 10.1016/j.midw.2021.103226.
PMID: 34990995

Examining the protective function of perceptions of post-traumatic growth against entrapment and suicidal ideation.
Yasdiman MB,
Townsend E,
Blackie LER
J Affect Disord
2022 Mar 1;300:474-480.
Epub 2022 Jan 1
doi: 10.1016/j.jad.2021.12.118.
PMID: 34979187

Distress tolerance as a moderator of the dynamic associations between interpersonal needs and suicidal thoughts.
Kyron MJ,
Hooke GR,
Bryan CJ,
Page AC
Suicide Life Threat Behav
2022 Feb;52(1):159-170.
Epub 2021 Nov 5
doi: 10.1111/sltb.12814.
PMID: 34741322

Multi-informant reports of depressive symptoms and suicidal ideation among adolescent inpatients.
Augenstein TM,
Visser KF,
Gallagher K,
De Los Reyes A,
D'Angelo EJ,
Nock MK
Suicide Life Threat Behav
2022 Feb;52(1):99-109.
Epub 2021 Oct 5
doi: 10.1111/sltb.12803.
PMID: 34608660
See all (7182)
Clinical prediction guides
Socio-demographic, economic and mental health problems were risk factors for suicidal ideation among Kenyan students aged 15 plus.
Ndetei DM,
Mutiso VN,
Weisz JR,
Okoth CA,
Musyimi C,
Muia EN,
Osborn TL,
Sourander A,
Wasserman D,
Mamah D
J Affect Disord
2022 Apr 1;302:74-82.
Epub 2022 Jan 12
doi: 10.1016/j.jad.2022.01.055.
PMID: 35032509

Suicidal ideation: Prevalence and risk factors during pregnancy.
Legazpi PCC,
Rodríguez-Muñoz MF,
Le HN,
Balbuena CS,
Olivares ME,
Méndez NI
Midwifery
2022 Mar;106:103226.
Epub 2021 Dec 26
doi: 10.1016/j.midw.2021.103226.
PMID: 34990995

Examining the protective function of perceptions of post-traumatic growth against entrapment and suicidal ideation.
Yasdiman MB,
Townsend E,
Blackie LER
J Affect Disord
2022 Mar 1;300:474-480.
Epub 2022 Jan 1
doi: 10.1016/j.jad.2021.12.118.
PMID: 34979187

Distress tolerance as a moderator of the dynamic associations between interpersonal needs and suicidal thoughts.
Kyron MJ,
Hooke GR,
Bryan CJ,
Page AC
Suicide Life Threat Behav
2022 Feb;52(1):159-170.
Epub 2021 Nov 5
doi: 10.1111/sltb.12814.
PMID: 34741322

Multi-informant reports of depressive symptoms and suicidal ideation among adolescent inpatients.
Augenstein TM,
Visser KF,
Gallagher K,
De Los Reyes A,
D'Angelo EJ,
Nock MK
Suicide Life Threat Behav
2022 Feb;52(1):99-109.
Epub 2021 Oct 5
doi: 10.1111/sltb.12803.
PMID: 34608660
See all (8779)
",Prevalence of suicidal ideation and suicide attempts among refugees: a meta-analysis.,/pubmed/35365108,https://www.ncbi.nlm.nih.gov/medgen/?term=C0438696
hallucinations auditory,C0233762,The false perception of sound. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0233762
feeling hopeless,C0150041,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0150041
weepiness,C0424109,A feeling of sadness characterized by crying episodes that can come on suddenly and are not under usual social control. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0424109
sleeplessness,C0917801,Persistent difficulty initiating or maintaining sleep. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0917801
