disease,code,description,source_name,source_link,root_url
cellulitis,C0007642,A bacterial infection and inflammation of the skin und subcutaneous tissues. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0007642
gastroesophageal reflux disease,C0017168,"Gastroesophageal reflux (GER) is characterized by the retrograde movement of stomach contents into the esophagus. In its most severe form, GER results in extensive tissue damage caused by acid reflux. In adolescents and adults, and even infrequently in children, chronic GER is associated with the risk of developing Barrett metaplasia (614266), a premalignant lesion of the esophageal mucosa (Hu et al., 2000). In turn, Barrett metaplasia is correlated with the development of adenocarcinoma of the esophagus (see 614266), estimated as the fifth most prevalent neoplasia in the Western world (Lagergren et al., 1999). [from OMIM]",OMIM,http://www.omim.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0017168
septicemia,C0036690,Systemic inflammatory response to infection. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0036690
systemic infection,C0243026,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0243026
sepsis (invertebrate),C1090821,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C1090821
deep vein thrombosis,C0149871,"Formation of a blot clot in a deep vein. The clot often blocks blood flow, causing swelling and pain. The deep veins of the leg are most often affected. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0149871
dehydration,C0011175,"A condition resulting from the excessive loss of water from the body. It is usually caused by severe diarrhea, vomiting or diaphoresis. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0011175
neoplasm,C0027651,An organ or organ-system abnormality that consists of uncontrolled autonomous cell-proliferation which can occur in any part of the body as a benign or malignant neoplasm (tumour). [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0027651
embolism pulmonary,C0034065,"An embolus (that is, an abnormal particle circulating in the blood) located in the pulmonary artery and thereby blocking blood circulation to the lung. Usually the embolus is a blood clot that has developed in an extremity (for instance, a deep venous thrombosis), detached, and traveled through the circulation before becoming trapped in the pulmonary artery. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0034065
epilepsy,C0014544,A disorder characterized by recurrent seizures. [from SNOMEDCT_US],SNOMEDCT_US,http://www.nlm.nih.gov/research/umls/Snomed/us_edition.html,https://www.ncbi.nlm.nih.gov/medgen/?term=C0014544
cardiomyopathy,C0878544,"A myocardial disorder in which the heart muscle is structurally and functionally abnormal, in the absence of coronary artery disease, hypertension, valvular disease and congenital heart disease sufficient to cause the observed myocardial abnormality. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0878544
chronic kidney failure,C0022661,Impairment of the renal function due to chronic kidney damage. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0022661
carcinoma,C0007097,"A malignant tumor arising from epithelial cells. Carcinomas that arise from glandular epithelium are called adenocarcinomas, those that arise from squamous epithelium are called squamous cell carcinomas, and those that arise from transitional epithelium are called transitional cell carcinomas (NCI Thesaurus). [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0007097
hepatitis C,C0019196,A viral infection caused by the hepatitis C virus. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0019196
peripheral vascular disease,C0085096,This concept is primitive because within clinical practice it is used in different contexts to refer to both arteries and veins of the periphery or exclusively of peripheral arteries and sometimes to describe just occlusive disease of the peripheral arteries. More detailed unambiguous concepts are available for these more specific interpretations. [from SNOMEDCT_US],SNOMEDCT_US,http://www.nlm.nih.gov/research/umls/Snomed/us_edition.html,https://www.ncbi.nlm.nih.gov/medgen/?term=C0085096
psychotic disorder,C0033975,A condition characterized by changes of personality and thought patterns often accompanied by hallucinations and delusional beliefs. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0033975
hyperlipidemia,C0020473,An elevated lipid concentration in the blood. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0020473
bipolar disorder,C0005586,"A disorder of the brain that causes unusual shifts in mood, energy, activity levels and the ability to carry out day-to-day tasks. Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0005586
obesity,C0028754,Accumulation of substantial excess body fat. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0028754
ischemia,C0022116,"Lack of blood supply to an area of the body, resulting in impairment of tissue oxygenation. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0022116
cirrhosis,C1623038,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C1623038
exanthema,C0015230,A red eruption of the skin. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0015230
benign prostatic hypertrophy,C0005001,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0005001
kidney failure acute,C0022660,"Sudden and sustained deterioration of the kidney function characterized by decreased glomerular filtration rate, increased serum creatinine or oliguria. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0022660
mitral valve insufficiency,C0026266,An abnormality of the mitral valve characterized by insufficiency or incompetence of the mitral valve resulting in retrograde leaking of blood through the mitral valve upon ventricular contraction. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0026266
arthritis,C0003864,Inflammation of a joint. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0003864
bronchitis,C0006277,Inflammation of the large airways in the lung including any part of the bronchi from the primary bronchi to the tertiary bronchi. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0006277
hemiparesis,C0018989,"Loss of strength in the arm, leg, and sometimes face on one side of the body. Hemiplegia refers to a complete loss of strength, whereas hemiparesis refers to an incomplete loss of strength. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0018989
osteoporosis,C0029456,"Osteoporosis is a systemic skeletal disease characterized by low bone density and microarchitectural deterioration of bone tissue with a consequent increase in bone fragility. According to the WHO criteria, osteoporosis is defined as a BMD that lies 2.5 standard deviations or more below the average value for young healthy adults (a T-score below -2.5 SD). [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0029456
transient ischemic attack,C0007787,"A brief attack (from a few minutes to an hour) of cerebral dysfunction of vascular origin, with no persistent neurological deficit. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0007787
adenocarcinoma,C0001418,"A common cancer characterized by the presence of malignant glandular cells. Morphologically, adenocarcinomas are classified according to the growth pattern (e.g., papillary, alveolar) or according to the secreting product (e.g., mucinous, serous). Representative examples of adenocarcinoma are ductal and lobular breast carcinoma, lung adenocarcinoma, renal cell carcinoma, hepatocellular carcinoma (hepatoma), colon adenocarcinoma, and prostate adenocarcinoma. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0001418
paranoia,C1456784,A persecutory delusion of supposed hostility of others. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C1456784
pancreatitis,C0030305,The presence of inflammation in the pancreas. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0030305
incontinence,C0021167,Involuntary passage of stool or urine from the body. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0021167
paroxysmal dyspnea,C0013405,A sudden attack of dyspnea that occurs while the affected person is at rest. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0013405
hernia,C0019270,The protrusion of part of an organ or fibroadipose tissue through an abnormal opening. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0019270
malignant neoplasm of prostate,C0376358,A cancer of the prostate. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0376358
carcinoma prostate,C0600139,"One of the most common malignant tumors afflicting men. The majority of carcinomas arise in the peripheral zone and a minority occur in the central or the transitional zone of the prostate gland. Grossly, prostatic carcinomas appear as ill-defined yellow areas of discoloration in the prostate gland lobes. Adenocarcinomas represent the overwhelming majority of prostatic carcinomas. Prostatic-specific antigen (PSA) serum test is widely used as a screening test for the early detection of prostatic carcinoma. Treatment options include radical prostatectomy, radiation therapy, androgen ablation and cryotherapy. Watchful waiting or surveillance alone is an option for older patients with low-grade or low-stage disease. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0600139
edema pulmonary,C0034063,Fluid accumulation in the lungs. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0034063
lymphatic diseases,C0024228,Diseases of LYMPH; LYMPH NODES; or LYMPHATIC VESSELS. [from MeSH],MeSH,http://www.nlm.nih.gov/pubs/factsheets/mesh.html,https://www.ncbi.nlm.nih.gov/medgen/?term=C0024228
stenosis aortic valve,C0003507,The presence of a stenosis (narrowing) of the aortic valve. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0003507
malignant neoplasm of breast,C0006142,"Breast cancer is a disease in which certain cells in the breast become abnormal and multiply uncontrollably to form a tumor. Although breast cancer is much more common in women, this form of cancer can also develop in men.  In both women and men, the most common form of breast cancer begins in cells lining the milk ducts (ductal cancer). In women, cancer can also develop in the glands that produce milk (lobular cancer). Most men have little or no lobular tissue, so lobular cancer in men is very rare. \n\nIn its early stages, breast cancer usually does not cause pain and may exhibit no noticeable symptoms. As the cancer progresses, signs and symptoms can include a lump or thickening in or near the breast; a change in the size or shape of the breast; nipple discharge, tenderness, or retraction (turning inward); and skin irritation, dimpling, redness, or scaliness. However, these changes can occur as part of many different conditions. Having one or more of these symptoms does not mean that a person definitely has breast cancer.\n\nIn some cases, cancerous cells can invade surrounding breast tissue. In these cases, the condition is known as invasive breast cancer. Sometimes, tumors spread to other parts of the body. If breast cancer spreads, cancerous cells most often appear in the bones, liver, lungs, or brain. Tumors that begin at one site and then spread to other areas of the body are called metastatic cancers.\n\nA small percentage of all breast cancers cluster in families. These cancers are described as hereditary and are associated with inherited gene mutations. Hereditary breast cancers tend to develop earlier in life than noninherited (sporadic) cases, and new (primary) tumors are more likely to develop in both breasts. [from MedlinePlus Genetics]",MedlinePlus Genetics,https://medlineplus.gov/genetics/,https://www.ncbi.nlm.nih.gov/medgen/?term=C0006142
carcinoma breast,C0678222,The presence of a carcinoma of the breast. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0678222
schizophrenia,C0036341,"Schizophrenia is highly heritable, as shown by family, twin, and adoption studies. For example, for identical twins, if one twin develops schizophrenia, the other twin has about a 50% chance of also developing the disease. The risk of the general population developing the schizophrenia is about 0.3-0.7% worldwide. The search for “schizophrenia genes” has been elusive. Initial linkage studies looked at parts of the genome associated with schizophrenia, and many candidate genes were identified, including APOE, COMT, DAO, DRD1, DRD2, DRD4, DTNBP1, GABRB2, GRIN2B, HP, IL1B, MTHFR, PLXNA2, SLC6A4, TP53, and TPH1. However, some of these have later been questioned. Microdeletions and microduplications have been found to be three times more common in individuals with schizophrenia, compared to controls. Because these deletions and duplications are in genes that are overexpressed in pathways related to brain development, it is possible that the inheritance of multiple rare variants may contribute to the development of schizophrenia. Several genetic disorders feature schizophrenia as a clinical feature. The 22q11.2 Deletion Syndrome comprises many different syndromes, of which one of the most serious is DiGeorge syndrome. Children born with DiGeorge syndrome typically have heart defects, cleft palate, learning difficulties, and immune deficiency. Schizophrenia is a late manifestation, affecting around 30% of individuals. Microdeletions and duplications in chromosome 1, 2, 3, 7, 15 and 16 have also been associated with schizophrenia. In 2014, a genome-wide association study looked at the genomes of over 35,000 patients and 110,00 controls. The study identified 108 SNPs that were associated with schizophrenia, 83 of which had not been previously reported. As expected, many of these loci occurred in genes that are expressed in the brain. For example, the SNPs included a gene that encodes the dopamine D2 receptor, DRD2 (the target of antipsychotic drugs), and many genes involved in glutamine neurotransmitter pathways and synaptic plasticity (e.g., GRM3, GRIN2A, SRR, GRIA1). More surprisingly, however, associations were also enriched among genes expressed in tissues with important immune functions. In 2016, a study based on nearly 65,000 people investigated the association between schizophrenia and variation in the Major Histocompatibility Complex (MHC) locus—a region on chromosome 6 that is important for immune function. The study focused on the C4 gene (complement component 4) that exists as two distinct genes: C4A and C4B, which encode particularly structurally diverse alleles. The study found that the alleles which promoted greater expression of C4A in the brain were associated with a greater risk of schizophrenia. By using mice models, the study showed that C4 is involved in the elimination of synapses during brain maturation. In humans, “synaptic pruning” is most active during late adolescence, which coincides with the typical onset of symptoms of schizophrenia. It is therefore possible that the inheritance of specific C4A alleles could lead to “run away” synaptic pruning, increasing the risk of schizophrenia. Further research may even determine C4 as a potential therapeutic target. [from Medical Genetics Summaries]",Medical Genetics Summaries,https://www.ncbi.nlm.nih.gov/books/NBK61999,https://www.ncbi.nlm.nih.gov/medgen/?term=C0036341
diverticulitis,C0012813,"An infection that develops in the diverticula of the intestinal tract. Signs and symptoms include abdominal pain, fever, and leukocytosis. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0012813
overload fluid,C0546817,"An increase in the amount of intravascular fluid, particularly in the volume of the circulating blood. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0546817
ulcer peptic,C0030920,An ulcer of the gastrointestinal tract. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0030920
osteomyelitis,C0029443,Osteomyelitis is an inflammatory process accompanied by bone destruction and caused by an infecting microorganism. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0029443
gastritis,C0017152,The presence of inflammation of the gastric mucous membrane. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0017152
bacteremia,C0004610,Presence of viable bacteria in the blood. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0004610
failure kidney,C0035078,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0035078
sickle cell anemia,C0002895,"Excerpted from the GeneReview: Sickle Cell DiseaseSickle cell disease (SCD) is characterized by intermittent vaso-occlusive events and chronic hemolytic anemia. Vaso-occlusive events result in tissue ischemia leading to acute and chronic pain as well as organ damage that can affect any organ system, including the bones, spleen, liver, brain, lungs, kidneys, and joints. Dactylitis (pain and/or swelling of the hands or feet) is often the earliest manifestation of SCD. In children, the spleen can become engorged with blood cells in a ""splenic sequestration."" The spleen is particularly vulnerable to infarction and the majority of individuals with SCD who are not on hydroxyurea or transfusion therapy become functionally asplenic in early childhood, increasing their risk for certain types of bacterial infections. Acute chest syndrome is a major cause of mortality in SCD. Chronic hemolysis can result in varying degrees of anemia, jaundice, cholelithiasis, and delayed growth and sexual maturation. Individuals with the highest rates of hemolysis are predisposed to pulmonary artery hypertension, priapism, and leg ulcers but may be relatively protected from vaso-occlusive pain. [from GeneReviews]Full text of GeneReview (by section):Summary  |  GeneReview Scope  |  Diagnosis  |  Clinical Characteristics  |  Genetically Related (Allelic) Disorders  |  Differential Diagnosis  |  Management  |  Genetic Counseling  |  Resources  |  Molecular Genetics  |  Chapter Notes  |  ReferencesAuthors:
 MA Bender   view full author information",Sickle Cell Disease,/books/NBK1377,https://www.ncbi.nlm.nih.gov/medgen/?term=C0002895
failure heart,C0018801,"Inability of the heart to pump blood at an adequate rate to meet tissue metabolic requirements. Clinical symptoms of heart failure include: unusual dyspnea on light exertion, recurrent dyspnea occurring in the supine position, fluid retention or rales, jugular venous distension, pulmonary edema on physical exam, or pulmonary edema on chest x-ray presumed to be cardiac dysfunction. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0018801
upper respiratory infection,C0041912,"An infectious process affecting the upper respiratory tract (nose, paranasal sinuses, pharynx, larynx, or trachea). Symptoms include congestion, sneezing, coughing, fever, and sore throat. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0041912
hepatitis,C0019158,Inflammation of the liver. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0019158
hypertension pulmonary,C0020542,Increased pressure within the pulmonary circulation due to lung or heart disorder. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0020542
deglutition disorder,C0011168,Difficulty in swallowing. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0011168
gout,C0018099,"Recurrent attacks of acute inflammatory arthritis of a joint or set of joints caused by elevated levels of uric acid in the blood which crystallize and are deposited in joints, tendons, and surrounding tissues. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0018099
thrombocytopaenia,C0040034,A reduction in the number of circulating thrombocytes. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0040034
hypoglycemia,C0020615,A decreased concentration of glucose in the blood. [from HPO],HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0020615
pneumonia aspiration,C0032290,"Pneumonia due to the aspiration (breathing in) of food, liquid, or gastric contents into the upper respiratory tract. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0032290
colitis,C0009319,"Colitis refers to an inflammation of the colon and is often used to describe an inflammation of the large intestine (colon, cecum and rectum). Colitides may be acute and self-limited or chronic, and broadly fit into the category of digestive diseases. [from HPO]",HPO,http://www.human-phenotype-ontology.org,https://www.ncbi.nlm.nih.gov/medgen/?term=C0009319
diverticulosis,C1510475,"A finding indicating the presence of multiple pouches, usually in the colonic or gastric wall. [from NCI]",NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C1510475
suicide attempt,C0038663,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0038663
Pneumocystis carinii pneumonia,C0032305,,,,https://www.ncbi.nlm.nih.gov/medgen/?term=C0032305
hepatitis B,C0019163,A viral infection caused by the hepatitis B virus. [from NCI],NCI,http://ncit.nci.nih.gov,https://www.ncbi.nlm.nih.gov/medgen/?term=C0019163
