did,disease,syd,symptom,prediction
7,pneumonia,53.0,chill,0.110767305
16,chronic obstructive airway disease,64.0,dyspnea,0.11000082
12,hypercholesterolemia,6.0,syncope,0.10732553
3,depression mental,35.0,tremor,0.106845714
4,depressive disorder,35.0,tremor,0.10606578
38,cardiomyopathy,1.0,pain chest,0.10571146
12,hypercholesterolemia,9.0,sweating increased,0.10167423
20,degenerative polyarthritis,127.0,general discomfort,0.10156873
11,myocardial infarction,43.0,hypokinesia,0.10007151
25,acquired immuno-deficiency syndrome,47.0,fever,0.09768522
13,infection,84.0,abscess bacterial,0.09742063
12,hypercholesterolemia,70.0,numbness,0.09700361
7,pneumonia,54.0,rhonchus,0.09618441
26,HIV,47.0,fever,0.09586001
16,chronic obstructive airway disease,108.0,hypoxemia,0.09488383
27,hiv infections,47.0,fever,0.09456248
15,anemia,96.0,monoclonal,0.094489336
20,degenerative polyarthritis,4.0,asthenia,0.09430313
3,depression mental,36.0,intoxication,0.09336429
11,myocardial infarction,16.0,orthopnea,0.09321419
13,infection,83.0,diarrhea,0.093035944
4,depressive disorder,36.0,intoxication,0.092862435
11,myocardial infarction,8.0,sweat,0.09268345
24,primary malignant neoplasm,88.0,hematuria,0.09233393
14,infection urinary tract,91.0,hyponatremia,0.09195013
14,infection urinary tract,59.0,distress respiratory,0.09081261
10,asthma,71.0,symptom aggravating factors,0.09061108
3,depression mental,37.0,verbal auditory hallucinations,0.09057309
42,peripheral vascular disease,194.0,rest pain,0.090526626
4,depressive disorder,37.0,verbal auditory hallucinations,0.090068184
8,failure heart congestive,57.0,wheezing,0.0899606
20,degenerative polyarthritis,128.0,drowsiness,0.08989075
38,cardiomyopathy,2.0,shortness of breath,0.08981375
11,myocardial infarction,13.0,pressure chest,0.08961168
33,deep vein thrombosis,2.0,shortness of breath,0.088677995
12,hypercholesterolemia,76.0,chest discomfort,0.0885701
37,epilepsy,178.0,hypometabolism,0.08731265
10,asthma,57.0,wheezing,0.086779825
17,dementia,97.0,ecchymosis,0.08672474
14,infection urinary tract,92.0,hemodynamically stable,0.086631596
15,anemia,97.0,ecchymosis,0.085550115
17,dementia,90.0,lethargy,0.08506635
24,primary malignant neoplasm,133.0,mass of body structure,0.085002705
31,systemic infection,47.0,fever,0.08395372
2,diabetes,14.0,polyuria,0.08360432
7,pneumonia,57.0,wheezing,0.082964696
30,septicemia,47.0,fever,0.082664564
28,cellulitis,80.0,erythema,0.08248655
17,dementia,17.0,rale,0.082367375
103,kidney disease,1.0,pain chest,0.08205693
17,dementia,6.0,syncope,0.08145551
13,infection,85.0,swelling,0.08101478
41,hepatitis C,46.0,cough,0.08077093
32,sepsis (invertebrate),47.0,fever,0.080627285
28,cellulitis,47.0,fever,0.07997125
20,degenerative polyarthritis,79.0,nonsmoker,0.07954612
35,neoplasm,1.0,pain chest,0.07933762
25,acquired immuno-deficiency syndrome,46.0,cough,0.07869623
12,hypercholesterolemia,73.0,st segment depression,0.07845511
44,hyperlipidemia,12.0,angina pectoris,0.07814902
18,insufficiency renal,17.0,rale,0.07771775
36,embolism pulmonary,1.0,pain chest,0.07696679
11,myocardial infarction,17.0,rale,0.07663451
13,infection,78.0,pain,0.07656183
33,deep vein thrombosis,78.0,pain,0.07648743
18,insufficiency renal,2.0,shortness of breath,0.07624599
21,hypothyroidism,2.0,shortness of breath,0.07619565
42,peripheral vascular disease,12.0,angina pectoris,0.07613626
27,hiv infections,46.0,cough,0.07541061
10,asthma,50.0,pleuritic pain,0.075260684
36,embolism pulmonary,2.0,shortness of breath,0.07477479
48,cirrhosis,5.0,fall,0.07460886
3,depression mental,38.0,energy increased,0.0735709
18,insufficiency renal,4.0,asthenia,0.07351041
15,anemia,100.0,pallor,0.07342325
33,deep vein thrombosis,166.0,pain in lower limb,0.07314969
4,depressive disorder,38.0,energy increased,0.07311676
25,acquired immuno-deficiency syndrome,150.0,spontaneous rupture of membranes,0.07310257
148,decubitus ulcer,47.0,fever,0.07202406
17,dementia,46.0,cough,0.07202343
9,accident cerebrovascular,65.0,dysarthria,0.07165815
5,coronary arteriosclerosis,45.0,chest tightness,0.07092495
2,diabetes,20.0,vomiting,0.0709241
74,ulcer peptic,1.0,pain chest,0.070726156
24,primary malignant neoplasm,141.0,emphysematous change,0.07066111
24,primary malignant neoplasm,140.0,cushingoid habitus,0.07025494
30,septicemia,59.0,distress respiratory,0.070001796
27,hiv infections,150.0,spontaneous rupture of membranes,0.06987496
15,anemia,98.0,tumor cell invasion,0.06977155
103,kidney disease,2.0,shortness of breath,0.06947006
16,chronic obstructive airway disease,109.0,hypercapnia,0.069404714
21,hypothyroidism,4.0,asthenia,0.06927915
32,sepsis (invertebrate),59.0,distress respiratory,0.06885743
6,coronary heart disease,45.0,chest tightness,0.068563886
26,HIV,150.0,spontaneous rupture of membranes,0.06798269
52,mitral valve insufficiency,2.0,shortness of breath,0.06721169
31,systemic infection,59.0,distress respiratory,0.06659899
31,systemic infection,90.0,lethargy,0.06648321
21,hypothyroidism,5.0,fall,0.06635624
7,pneumonia,58.0,haemoptysis,0.06623804
20,degenerative polyarthritis,78.0,pain,0.06607668
44,hyperlipidemia,1.0,pain chest,0.06603539
15,anemia,4.0,asthenia,0.06600022
7,pneumonia,50.0,pleuritic pain,0.06575632
30,septicemia,90.0,lethargy,0.065439776
46,obesity,1.0,pain chest,0.06539576
9,accident cerebrovascular,70.0,numbness,0.06509772
28,cellulitis,78.0,pain,0.06508554
17,dementia,67.0,facial paresis,0.06480228
19,confusion,66.0,speech slurred,0.064070284
30,septicemia,118.0,hypotension,0.06392029
37,epilepsy,179.0,aura,0.063832
32,sepsis (invertebrate),90.0,lethargy,0.06370582
7,pneumonia,59.0,distress respiratory,0.0637039
38,cardiomyopathy,43.0,hypokinesia,0.06323493
32,sepsis (invertebrate),118.0,hypotension,0.06289916
15,anemia,2.0,shortness of breath,0.06270234
26,HIV,53.0,chill,0.062365852
20,degenerative polyarthritis,56.0,non-productive cough,0.062215056
37,epilepsy,69.0,seizure,0.0617385
31,systemic infection,118.0,hypotension,0.061541274
22,anxiety state,22.0,feeling suicidal,0.061246943
13,infection,46.0,cough,0.061228484
17,dementia,18.0,unresponsiveness,0.061086196
25,acquired immuno-deficiency syndrome,53.0,chill,0.06068061
60,pancreatitis,11.0,nausea,0.060636133
15,anemia,102.0,heme positive,0.060569257
33,deep vein thrombosis,85.0,swelling,0.06025319
7,pneumonia,55.0,green sputum,0.0602021
15,anemia,103.0,pain back,0.059992433
4,depressive disorder,39.0,difficulty,0.05985154
16,chronic obstructive airway disease,46.0,cough,0.05972156
3,depression mental,39.0,difficulty,0.05968901
47,ischemia,1.0,pain chest,0.05965553
37,epilepsy,128.0,drowsiness,0.05931727
7,pneumonia,52.0,breath sounds decreased,0.059282545
49,exanthema,47.0,fever,0.05917558
33,deep vein thrombosis,80.0,erythema,0.05899185
22,anxiety state,23.0,suicidal,0.05881795
27,hiv infections,53.0,chill,0.058719277
11,myocardial infarction,45.0,chest tightness,0.058696624
35,neoplasm,88.0,hematuria,0.05867113
28,cellulitis,1.0,pain chest,0.05857581
11,myocardial infarction,75.0,presence of q wave,0.058200803
38,cardiomyopathy,16.0,orthopnea,0.05811902
53,arthritis,27.0,sleeplessness,0.057855606
28,cellulitis,85.0,swelling,0.057812
11,myocardial infarction,6.0,syncope,0.057220615
24,primary malignant neoplasm,142.0,decreased body weight,0.05707762
25,acquired immuno-deficiency syndrome,62.0,night sweat,0.05645656
19,confusion,119.0,enuresis,0.05644019
38,cardiomyopathy,63.0,jugular venous distention,0.056425188
30,septicemia,53.0,chill,0.056246012
31,systemic infection,53.0,chill,0.056071434
41,hepatitis C,190.0,distended abdomen,0.05601302
26,HIV,62.0,night sweat,0.055944934
19,confusion,90.0,lethargy,0.055856798
25,acquired immuno-deficiency syndrome,22.0,feeling suicidal,0.055722367
47,ischemia,12.0,angina pectoris,0.05570226
38,cardiomyopathy,6.0,syncope,0.055610526
24,primary malignant neoplasm,138.0,lesion,0.05558248
7,pneumonia,60.0,tachypnea,0.055562247
12,hypercholesterolemia,33.0,worry,0.05520336
21,hypothyroidism,66.0,speech slurred,0.05513254
14,infection urinary tract,93.0,difficulty passing urine,0.05506026
71,schizophrenia,23.0,suicidal,0.055039495
44,hyperlipidemia,8.0,sweat,0.0550301
32,sepsis (invertebrate),53.0,chill,0.054984305
39,chronic kidney failure,16.0,orthopnea,0.054934993
53,arthritis,78.0,pain,0.05476194
7,pneumonia,62.0,night sweat,0.05461321
22,anxiety state,25.0,feeling hopeless,0.054603696
17,dementia,111.0,unconscious state,0.05454434
26,HIV,46.0,cough,0.05421823
37,epilepsy,68.0,hemiplegia,0.054177634
41,hepatitis C,192.0,macerated skin,0.054141022
42,peripheral vascular disease,115.0,hyperkalemia,0.053866833
11,myocardial infarction,10.0,palpitation,0.05375156
27,hiv infections,62.0,night sweat,0.053534754
30,septicemia,60.0,tachypnea,0.05337542
62,paroxysmal dyspnea,16.0,orthopnea,0.0532008
22,anxiety state,26.0,weepiness,0.053187404
42,peripheral vascular disease,18.0,unresponsiveness,0.053160947
22,anxiety state,24.0,hallucinations auditory,0.05301796
50,benign prostatic hypertrophy,30.0,blackout,0.052909143
32,sepsis (invertebrate),60.0,tachypnea,0.05256398
27,hiv infections,22.0,feeling suicidal,0.052492794
28,cellulitis,155.0,hypesthesia,0.052094873
14,infection urinary tract,19.0,mental status changes,0.051865943
73,overload fluid,16.0,orthopnea,0.051660657
31,systemic infection,60.0,tachypnea,0.051372662
50,benign prostatic hypertrophy,16.0,orthopnea,0.051320396
24,primary malignant neoplasm,117.0,ascites,0.051278345
19,confusion,4.0,asthenia,0.051141594
20,degenerative polyarthritis,15.0,polydypsia,0.050889105
16,chronic obstructive airway disease,110.0,patient non compliance,0.050846774
17,dementia,114.0,unsteady gait,0.05073898
28,cellulitis,84.0,abscess bacterial,0.050683767
20,degenerative polyarthritis,114.0,unsteady gait,0.05062162
82,hepatitis,47.0,fever,0.050268844
41,hepatitis C,191.0,ache,0.05004637
39,chronic kidney failure,63.0,jugular venous distention,0.04986595
60,pancreatitis,78.0,pain,0.049710475
34,dehydration,47.0,fever,0.049702115
22,anxiety state,27.0,sleeplessness,0.049695827
28,cellulitis,82.0,pruritus,0.049673017
33,deep vein thrombosis,17.0,rale,0.04959526
28,cellulitis,154.0,redness,0.049435675
18,insufficiency renal,116.0,urgency of micturition,0.049354978
28,cellulitis,53.0,chill,0.04909297
33,deep vein thrombosis,167.0,cardiomegaly,0.04907063
44,hyperlipidemia,199.0,photopsia,0.048955318
71,schizophrenia,24.0,hallucinations auditory,0.048862558
21,hypothyroidism,6.0,syncope,0.048840787
18,insufficiency renal,117.0,ascites,0.048810694
68,stenosis aortic valve,1.0,pain chest,0.048735466
52,mitral valve insufficiency,43.0,hypokinesia,0.04866231
54,bronchitis,2.0,shortness of breath,0.048585534
51,kidney failure acute,118.0,hypotension,0.048477083
73,overload fluid,2.0,shortness of breath,0.048469808
18,insufficiency renal,115.0,hyperkalemia,0.048208266
62,paroxysmal dyspnea,1.0,pain chest,0.048202593
17,dementia,34.0,agitation,0.048098
26,HIV,60.0,tachypnea,0.047971778
37,epilepsy,121.0,muscle twitch,0.047680505
30,septicemia,150.0,spontaneous rupture of membranes,0.04754577
62,paroxysmal dyspnea,63.0,jugular venous distention,0.04748955
41,hepatitis C,22.0,feeling suicidal,0.04748396
17,dementia,112.0,bedridden,0.0474398
17,dementia,112.0,bedridden,0.0474398
17,dementia,78.0,pain,0.04729591
44,hyperlipidemia,2.0,shortness of breath,0.047295526
31,systemic infection,150.0,spontaneous rupture of membranes,0.047178827
30,septicemia,77.0,bradycardia,0.047118843
13,infection,81.0,hepatosplenomegaly,0.047106788
73,overload fluid,63.0,jugular venous distention,0.047056966
46,obesity,78.0,pain,0.047019016
19,confusion,5.0,fall,0.04686783
49,exanthema,80.0,erythema,0.04678404
30,septicemia,164.0,breech presentation,0.04676106
26,HIV,83.0,diarrhea,0.046711348
62,paroxysmal dyspnea,2.0,shortness of breath,0.046688583
38,cardiomyopathy,17.0,rale,0.046579752
15,anemia,91.0,hyponatremia,0.04650446
32,sepsis (invertebrate),150.0,spontaneous rupture of membranes,0.046376027
34,dehydration,11.0,nausea,0.046309166
48,cirrhosis,98.0,tumor cell invasion,0.046303406
40,carcinoma,78.0,pain,0.046263367
32,sepsis (invertebrate),77.0,bradycardia,0.0462589
15,anemia,3.0,dizziness,0.046204977
15,anemia,104.0,orthostasis,0.046119403
32,sepsis (invertebrate),164.0,breech presentation,0.046001323
25,acquired immuno-deficiency syndrome,83.0,diarrhea,0.045922577
43,psychotic disorder,22.0,feeling suicidal,0.04589648
25,acquired immuno-deficiency syndrome,49.0,productive cough,0.045622498
31,systemic infection,77.0,bradycardia,0.045577556
10,asthma,59.0,distress respiratory,0.045566313
31,systemic infection,164.0,breech presentation,0.04498368
86,thrombocytopaenia,97.0,ecchymosis,0.044840157
27,hiv infections,49.0,productive cough,0.04479692
35,neoplasm,98.0,tumor cell invasion,0.044695836
39,chronic kidney failure,47.0,fever,0.04463628
25,acquired immuno-deficiency syndrome,60.0,tachypnea,0.044573583
24,primary malignant neoplasm,143.0,hoarseness,0.044534832
25,acquired immuno-deficiency syndrome,142.0,decreased body weight,0.044513732
37,epilepsy,35.0,tremor,0.04445569
27,hiv infections,83.0,diarrhea,0.04434346
21,hypothyroidism,128.0,drowsiness,0.044339754
43,psychotic disorder,23.0,suicidal,0.044069998
74,ulcer peptic,11.0,nausea,0.044013906
44,hyperlipidemia,75.0,presence of q wave,0.0439984
39,chronic kidney failure,2.0,shortness of breath,0.043878328
15,anemia,53.0,chill,0.043575544
98,tricuspid valve insufficiency,2.0,shortness of breath,0.043510217
37,epilepsy,18.0,unresponsiveness,0.04339093
44,hyperlipidemia,43.0,hypokinesia,0.04338801
22,anxiety state,29.0,irritable mood,0.043295965
35,neoplasm,172.0,anosmia,0.04326024
46,obesity,2.0,shortness of breath,0.043139357
51,kidney failure acute,4.0,asthenia,0.04305025
79,sickle cell anemia,1.0,pain chest,0.043019965
79,sickle cell anemia,292.0,breakthrough pain,0.043006193
34,dehydration,4.0,asthenia,0.042900182
44,hyperlipidemia,9.0,sweating increased,0.04284113
29,gastroesophageal reflux disease,45.0,chest tightness,0.04279023
27,hiv infections,60.0,tachypnea,0.042706423
83,hypertension pulmonary,233.0,Stahli's line,0.042611506
56,osteoporosis,5.0,fall,0.042554215
4,depressive disorder,40.0,nightmare,0.042545997
49,exanthema,215.0,macule,0.042462666
3,depression mental,40.0,nightmare,0.042376004
27,hiv infections,142.0,decreased body weight,0.042347185
78,failure kidney,16.0,orthopnea,0.042255506
11,myocardial infarction,64.0,dyspnea,0.042110607
47,ischemia,2.0,shortness of breath,0.04193276
93,hepatitis B,326.0,inappropriate affect,0.04183112
36,embolism pulmonary,108.0,hypoxemia,0.041758593
105,glaucoma,5.0,fall,0.04167644
57,transient ischemic attack,66.0,speech slurred,0.041571707
34,dehydration,169.0,unwell,0.041426063
28,cellulitis,156.0,hyperacusis,0.04140909
30,septicemia,165.0,cyanosis,0.04125918
47,ischemia,8.0,sweat,0.04113216
86,thrombocytopaenia,47.0,fever,0.04112471
42,peripheral vascular disease,64.0,dyspnea,0.041086704
43,psychotic disorder,25.0,feeling hopeless,0.040918127
53,arthritis,85.0,swelling,0.04090064
59,paranoia,22.0,feeling suicidal,0.040824678
71,schizophrenia,29.0,irritable mood,0.04079835
35,neoplasm,125.0,food intolerance,0.040640727
32,sepsis (invertebrate),165.0,cyanosis,0.040565368
57,transient ischemic attack,4.0,asthenia,0.040554777
12,hypercholesterolemia,74.0,t wave inverted,0.04051979
52,mitral valve insufficiency,6.0,syncope,0.04051962
19,confusion,34.0,agitation,0.040439647
48,cirrhosis,117.0,ascites,0.040414196
26,HIV,49.0,productive cough,0.04038226
68,stenosis aortic valve,6.0,syncope,0.040325258
39,chronic kidney failure,4.0,asthenia,0.04018893
18,insufficiency renal,19.0,mental status changes,0.040086213
33,deep vein thrombosis,118.0,hypotension,0.040077467
54,bronchitis,46.0,cough,0.039948046
22,anxiety state,30.0,blackout,0.039945167
43,psychotic disorder,24.0,hallucinations auditory,0.03986776
43,psychotic disorder,26.0,weepiness,0.039865002
41,hepatitis C,24.0,hallucinations auditory,0.03984442
26,HIV,142.0,decreased body weight,0.03981526
31,systemic infection,165.0,cyanosis,0.03975428
39,chronic kidney failure,17.0,rale,0.03964353
53,arthritis,4.0,asthenia,0.039355632
48,cirrhosis,82.0,pruritus,0.039293442
59,paranoia,23.0,suicidal,0.039265923
66,edema pulmonary,16.0,orthopnea,0.039258003
83,hypertension pulmonary,44.0,dyspnea on exertion,0.03918896
40,carcinoma,127.0,general discomfort,0.039152823
42,peripheral vascular disease,195.0,sinus rhythm,0.03910764
13,infection,86.0,apyrexial,0.039046574
36,embolism pulmonary,51.0,yellow sputum,0.03903857
25,acquired immuno-deficiency syndrome,50.0,pleuritic pain,0.039004438
86,thrombocytopaenia,308.0,monocytosis,0.038975026
54,bronchitis,47.0,fever,0.03893524
38,cardiomyopathy,51.0,yellow sputum,0.03890142
21,hypothyroidism,91.0,hyponatremia,0.03883899
51,kidney failure acute,92.0,hemodynamically stable,0.038747977
73,overload fluid,17.0,rale,0.038688593
21,hypothyroidism,114.0,unsteady gait,0.03859284
36,embolism pulmonary,175.0,hematocrit decreased,0.03858698
62,paroxysmal dyspnea,17.0,rale,0.038472157
68,stenosis aortic valve,12.0,angina pectoris,0.038289692
148,decubitus ulcer,211.0,systolic murmur,0.038250763
53,arthritis,92.0,hemodynamically stable,0.03823581
60,pancreatitis,83.0,diarrhea,0.03810839
24,primary malignant neoplasm,144.0,thicken,0.038093437
75,osteomyelitis,78.0,pain,0.037838113
19,confusion,3.0,dizziness,0.037805352
19,confusion,111.0,unconscious state,0.0377685
17,dementia,54.0,rhonchus,0.0377601
47,ischemia,13.0,pressure chest,0.037711293
50,benign prostatic hypertrophy,104.0,orthostasis,0.037512846
27,hiv infections,50.0,pleuritic pain,0.037413385
29,gastroesophageal reflux disease,75.0,presence of q wave,0.037330534
21,hypothyroidism,14.0,polyuria,0.037303243
29,gastroesophageal reflux disease,159.0,burning sensation,0.037289195
69,malignant neoplasm of breast,271.0,mass in breast,0.037186872
85,gout,80.0,erythema,0.03718202
43,psychotic disorder,27.0,sleeplessness,0.037175335
70,carcinoma breast,271.0,mass in breast,0.037162453
93,hepatitis B,51.0,yellow sputum,0.037054468
53,arthritis,2.0,shortness of breath,0.036934275
33,deep vein thrombosis,97.0,ecchymosis,0.036886107
2,diabetes,21.0,labored breathing,0.03684779
29,gastroesophageal reflux disease,160.0,satiety early,0.036805116
15,anemia,101.0,fatigue,0.036798075
74,ulcer peptic,253.0,paraparesis,0.036785513
70,carcinoma breast,80.0,erythema,0.036730554
26,HIV,50.0,pleuritic pain,0.036676332
69,malignant neoplasm of breast,80.0,erythema,0.03661228
40,carcinoma,133.0,mass of body structure,0.036608703
19,confusion,120.0,asterixis,0.03659458
89,colitis,47.0,fever,0.036527194
38,cardiomyopathy,10.0,palpitation,0.03636635
21,hypothyroidism,130.0,prostatism,0.03629325
25,acquired immuno-deficiency syndrome,110.0,patient non compliance,0.036243957
33,deep vein thrombosis,154.0,redness,0.036151834
16,chronic obstructive airway disease,45.0,chest tightness,0.036109462
68,stenosis aortic valve,78.0,pain,0.036050245
83,hypertension pulmonary,303.0,heavy legs,0.036045227
22,anxiety state,1.0,pain chest,0.035991542
79,sickle cell anemia,103.0,pain back,0.03597883
28,cellulitis,110.0,patient non compliance,0.035922207
36,embolism pulmonary,57.0,wheezing,0.03570017
22,anxiety state,31.0,mood depressed,0.035601802
12,hypercholesterolemia,77.0,bradycardia,0.035571527
79,sickle cell anemia,78.0,pain,0.03552368
52,mitral valve insufficiency,212.0,asymptomatic,0.035494827
59,paranoia,24.0,hallucinations auditory,0.03544785
71,schizophrenia,274.0,hypersomnolence,0.035405017
35,neoplasm,78.0,pain,0.035268467
66,edema pulmonary,63.0,jugular venous distention,0.03525327
12,hypercholesterolemia,64.0,dyspnea,0.035084028
19,confusion,91.0,hyponatremia,0.035036184
41,hepatitis C,53.0,chill,0.034945045
60,pancreatitis,148.0,pain abdominal,0.034938697
55,hemiparesis,4.0,asthenia,0.034770973
60,pancreatitis,20.0,vomiting,0.034694195
74,ulcer peptic,68.0,hemiplegia,0.03468532
80,failure heart,2.0,shortness of breath,0.03462153
39,chronic kidney failure,11.0,nausea,0.034576192
27,hiv infections,110.0,patient non compliance,0.034553215
34,dehydration,90.0,lethargy,0.0345063
36,embolism pulmonary,49.0,productive cough,0.034491323
48,cirrhosis,190.0,distended abdomen,0.034464654
49,exanthema,53.0,chill,0.034400765
37,epilepsy,180.0,myoclonus,0.034389365
67,lymphatic diseases,47.0,fever,0.03438164
36,embolism pulmonary,64.0,dyspnea,0.03435345
79,sickle cell anemia,2.0,shortness of breath,0.034142606
22,anxiety state,32.0,hallucinations visual,0.03412607
51,kidney failure acute,184.0,oliguria,0.034103163
86,thrombocytopaenia,309.0,posterior rhinorrhea,0.034103148
49,exanthema,82.0,pruritus,0.03404283
51,kidney failure acute,115.0,hyperkalemia,0.03396057
51,kidney failure acute,83.0,diarrhea,0.033919908
19,confusion,69.0,seizure,0.03384275
