did,disease,syd,symptom,prediction
139,migraine disorders,11.0,nausea,0.12798162
74,ulcer peptic,253.0,paraparesis,0.12785682
136,thrombus,392.0,hypertonicity,0.12772055
113,melanoma,47.0,fever,0.12595318
102,neuropathy,70.0,numbness,0.12590659
8,failure heart congestive,17.0,rale,0.12574388
24,primary malignant neoplasm,78.0,pain,0.1254176
53,arthritis,27.0,sleeplessness,0.12505497
60,pancreatitis,78.0,pain,0.124082655
53,arthritis,92.0,hemodynamically stable,0.12405883
98,tricuspid valve insufficiency,11.0,nausea,0.12303131
102,neuropathy,315.0,nausea and vomiting,0.12256231
73,overload fluid,16.0,orthopnea,0.12232385
98,tricuspid valve insufficiency,20.0,vomiting,0.122185946
136,thrombus,43.0,hypokinesia,0.12199938
141,cholelithiasis,20.0,vomiting,0.12199682
5,coronary arteriosclerosis,2.0,shortness of breath,0.12188091
42,peripheral vascular disease,2.0,shortness of breath,0.121200435
37,epilepsy,178.0,hypometabolism,0.11994681
16,chronic obstructive airway disease,64.0,dyspnea,0.11976918
136,thrombus,2.0,shortness of breath,0.11879278
102,neuropathy,316.0,awakening early,0.1187711
97,encephalopathy,334.0,uncoordination,0.11860987
24,primary malignant neoplasm,133.0,mass of body structure,0.11860964
51,kidney failure acute,118.0,hypotension,0.11801015
6,coronary heart disease,2.0,shortness of breath,0.11730573
14,infection urinary tract,47.0,fever,0.11720925
75,osteomyelitis,280.0,prostate tender,0.11676509
130,pneumothorax,58.0,haemoptysis,0.11675918
73,overload fluid,63.0,jugular venous distention,0.11627238
124,obesity morbid,239.0,out of breath,0.11583955
142,biliary calculus,20.0,vomiting,0.11570522
13,infection,47.0,fever,0.11496375
48,cirrhosis,5.0,fall,0.11473411
79,sickle cell anemia,78.0,pain,0.11450823
33,deep vein thrombosis,78.0,pain,0.114102826
74,ulcer peptic,148.0,pain abdominal,0.113544084
83,hypertension pulmonary,52.0,breath sounds decreased,0.11287564
9,accident cerebrovascular,67.0,facial paresis,0.11257818
62,paroxysmal dyspnea,16.0,orthopnea,0.1124676
141,cholelithiasis,148.0,pain abdominal,0.112305924
131,delirium,114.0,unsteady gait,0.11223022
125,pyelonephritis,78.0,pain,0.11204112
93,hepatitis B,302.0,projectile vomiting,0.1120274
106,neoplasm metastasis,173.0,metastatic lesion,0.111820355
74,ulcer peptic,20.0,vomiting,0.11168481
145,adhesion,394.0,flatulence,0.11154354
75,osteomyelitis,78.0,pain,0.11100148
98,tricuspid valve insufficiency,148.0,pain abdominal,0.110349394
86,thrombocytopaenia,99.0,haemorrhage,0.11031874
70,carcinoma breast,187.0,paresthesia,0.11024136
104,fibroid tumor,348.0,abortion,0.1100366
6,coronary heart disease,43.0,hypokinesia,0.10988849
140,pancytopenia,139.0,cushingoid facies,0.10957855
69,malignant neoplasm of breast,187.0,paresthesia,0.109339066
145,adhesion,403.0,large-for-dates fetus,0.10928882
90,diverticulosis,318.0,fecaluria,0.10924403
71,schizophrenia,24.0,hallucinations auditory,0.10921604
44,hyperlipidemia,12.0,angina pectoris,0.10919546
62,paroxysmal dyspnea,63.0,jugular venous distention,0.10840086
44,hyperlipidemia,1.0,pain chest,0.10837423
5,coronary arteriosclerosis,43.0,hypokinesia,0.10812021
85,gout,154.0,redness,0.10803758
143,tachycardia sinus,183.0,left atrial hypertrophy,0.10792734
142,biliary calculus,148.0,pain abdominal,0.10757066
130,pneumothorax,46.0,cough,0.10748987
128,pericardial effusion body substance,2.0,shortness of breath,0.10747808
141,cholelithiasis,11.0,nausea,0.10744835
5,coronary arteriosclerosis,12.0,angina pectoris,0.107395574
87,hypoglycemia,18.0,unresponsiveness,0.10709506
41,hepatitis C,190.0,distended abdomen,0.10672872
70,carcinoma breast,133.0,mass of body structure,0.10665322
136,thrombus,170.0,anorexia,0.10661194
70,carcinoma breast,272.0,retropulsion,0.10651285
145,adhesion,78.0,pain,0.10647385
73,overload fluid,115.0,hyperkalemia,0.10615863
69,malignant neoplasm of breast,133.0,mass of body structure,0.10612281
125,pyelonephritis,88.0,hematuria,0.10607134
113,melanoma,78.0,pain,0.105958745
20,degenerative polyarthritis,125.0,food intolerance,0.10586676
69,malignant neoplasm of breast,272.0,retropulsion,0.10569366
20,degenerative polyarthritis,126.0,numbness of hand,0.10568411
82,hepatitis,117.0,ascites,0.10559668
33,deep vein thrombosis,2.0,shortness of breath,0.10545817
14,infection urinary tract,88.0,hematuria,0.10525787
26,HIV,47.0,fever,0.10524834
76,gastritis,148.0,pain abdominal,0.10521978
89,colitis,47.0,fever,0.10507819
76,gastritis,283.0,disequilibrium,0.1045997
93,hepatitis B,327.0,poor feeding,0.10458782
147,affect labile,110.0,patient non compliance,0.104532436
14,infection urinary tract,87.0,dysuria,0.10451809
50,benign prostatic hypertrophy,16.0,orthopnea,0.10446555
71,schizophrenia,23.0,suicidal,0.10437157
141,cholelithiasis,78.0,pain,0.10424872
79,sickle cell anemia,2.0,shortness of breath,0.10419263
9,accident cerebrovascular,68.0,hemiplegia,0.10416893
128,pericardial effusion body substance,64.0,dyspnea,0.10401729
1,hypertensive disease,2.0,shortness of breath,0.10393172
68,stenosis aortic valve,1.0,pain chest,0.103924446
76,gastritis,20.0,vomiting,0.103918925
95,lymphoma,138.0,lesion,0.10371508
95,lymphoma,47.0,fever,0.10369947
25,acquired immuno-deficiency syndrome,47.0,fever,0.1036825
20,degenerative polyarthritis,127.0,general discomfort,0.10354997
144,ileus,400.0,abdomen acute,0.10348305
1,hypertensive disease,1.0,pain chest,0.10339255
83,hypertension pulmonary,176.0,neck stiffness,0.103385575
104,fibroid tumor,99.0,haemorrhage,0.10323651
95,lymphoma,329.0,welt,0.10300797
50,benign prostatic hypertrophy,104.0,orthostasis,0.10299356
41,hepatitis C,46.0,cough,0.10299263
74,ulcer peptic,11.0,nausea,0.102907
13,infection,80.0,erythema,0.1028835
83,hypertension pulmonary,2.0,shortness of breath,0.10282644
123,aphasia,121.0,muscle twitch,0.10250921
78,failure kidney,16.0,orthopnea,0.10249802
142,biliary calculus,11.0,nausea,0.10249741
138,hernia hiatal,346.0,fatigability,0.10239973
52,mitral valve insufficiency,212.0,asymptomatic,0.10229514
46,obesity,78.0,pain,0.10211411
53,arthritis,4.0,asthenia,0.10204092
142,biliary calculus,78.0,pain,0.101912364
62,paroxysmal dyspnea,2.0,shortness of breath,0.10189352
107,malignant tumor of colon,138.0,lesion,0.10184923
82,hepatitis,60.0,tachypnea,0.10177651
27,hiv infections,47.0,fever,0.1017244
127,effusion pericardial,64.0,dyspnea,0.10152375
51,kidney failure acute,92.0,hemodynamically stable,0.10150859
127,effusion pericardial,2.0,shortness of breath,0.101372615
38,cardiomyopathy,2.0,shortness of breath,0.100864485
20,degenerative polyarthritis,128.0,drowsiness,0.10060931
84,deglutition disorder,304.0,titubation,0.10048651
58,adenocarcinoma,138.0,lesion,0.10044272
131,delirium,196.0,withdraw,0.1004263
89,colitis,144.0,thicken,0.10022733
52,mitral valve insufficiency,2.0,shortness of breath,0.10016809
109,ketoacidosis diabetic,20.0,vomiting,0.10014949
104,fibroid tumor,349.0,intermenstrual heavy bleeding,0.10003327
68,stenosis aortic valve,76.0,chest discomfort,0.09969149
16,chronic obstructive airway disease,46.0,cough,0.09963265
68,stenosis aortic valve,269.0,sciatica,0.09954506
48,cirrhosis,117.0,ascites,0.099447876
105,glaucoma,91.0,hyponatremia,0.09942269
145,adhesion,389.0,para 1,0.09935348
16,chronic obstructive airway disease,57.0,wheezing,0.099349394
140,pancytopenia,277.0,colic abdominal,0.099019885
87,hypoglycemia,311.0,lameness,0.09883459
10,asthma,45.0,chest tightness,0.09864717
128,pericardial effusion body substance,92.0,hemodynamically stable,0.09856146
79,sickle cell anemia,1.0,pain chest,0.09852481
51,kidney failure acute,184.0,oliguria,0.09845641
97,encephalopathy,128.0,drowsiness,0.098281264
85,gout,85.0,swelling,0.09806678
68,stenosis aortic valve,6.0,syncope,0.09776264
97,encephalopathy,99.0,haemorrhage,0.097750336
102,neuropathy,331.0,hydropneumothorax,0.09760443
86,thrombocytopaenia,60.0,tachypnea,0.097292036
121,hemorrhoids,375.0,bowel sounds decreased,0.09708366
106,neoplasm metastasis,189.0,lung nodule,0.097028464
89,colitis,55.0,green sputum,0.09675601
71,schizophrenia,29.0,irritable mood,0.09657673
85,gout,80.0,erythema,0.09653424
49,exanthema,215.0,macule,0.09642635
96,hyperglycemia,288.0,pustule,0.0964086
108,carcinoma colon,138.0,lesion,0.09630309
144,ileus,401.0,air fluid level,0.096091405
6,coronary heart disease,8.0,sweat,0.09607148
116,carcinoma of lung,2.0,shortness of breath,0.09585372
135,dependence,36.0,intoxication,0.09580437
42,peripheral vascular disease,115.0,hyperkalemia,0.095787115
14,infection urinary tract,89.0,renal angle tenderness,0.09570797
112,respiratory failure,208.0,snore,0.0953895
73,overload fluid,2.0,shortness of breath,0.09486406
87,hypoglycemia,265.0,qt interval prolonged,0.09480935
147,affect labile,119.0,enuresis,0.09461266
49,exanthema,47.0,fever,0.09460813
115,malignant neoplasm of lung,2.0,shortness of breath,0.09454105
31,systemic infection,47.0,fever,0.09438436
68,stenosis aortic valve,78.0,pain,0.094365776
132,neutropenia,138.0,lesion,0.094331734
33,deep vein thrombosis,166.0,pain in lower limb,0.09410502
48,cirrhosis,148.0,pain abdominal,0.09409889
1,hypertensive disease,5.0,fall,0.09385818
70,carcinoma breast,80.0,erythema,0.09351492
66,edema pulmonary,116.0,urgency of micturition,0.09346618
37,epilepsy,69.0,seizure,0.093368225
109,ketoacidosis diabetic,14.0,polyuria,0.09318175
136,thrombus,92.0,hemodynamically stable,0.09304835
78,failure kidney,289.0,slowing of urinary stream,0.09300294
69,malignant neoplasm of breast,80.0,erythema,0.09289522
51,kidney failure acute,4.0,asthenia,0.092823215
12,hypercholesterolemia,1.0,pain chest,0.092737645
141,cholelithiasis,139.0,cushingoid facies,0.09271296
50,benign prostatic hypertrophy,30.0,blackout,0.092634335
30,septicemia,60.0,tachypnea,0.09247291
37,epilepsy,179.0,aura,0.092328995
30,septicemia,118.0,hypotension,0.09205003
100,candidiasis,223.0,throat sore,0.09179582
56,osteoporosis,130.0,prostatism,0.09176824
111,tonic-clonic seizures,360.0,lip smacking,0.09168968
32,sepsis (invertebrate),118.0,hypotension,0.09165983
28,cellulitis,80.0,erythema,0.09148267
49,exanthema,138.0,lesion,0.09148149
32,sepsis (invertebrate),60.0,tachypnea,0.09139009
117,manic disorder,23.0,suicidal,0.091153175
117,manic disorder,23.0,suicidal,0.091153175
12,hypercholesterolemia,78.0,pain,0.09096515
54,bronchitis,2.0,shortness of breath,0.09094841
31,systemic infection,118.0,hypotension,0.09094269
46,obesity,1.0,pain chest,0.09094008
97,encephalopathy,120.0,asterixis,0.090847105
107,malignant tumor of colon,130.0,prostatism,0.0907851
24,primary malignant neoplasm,139.0,cushingoid facies,0.09071822
88,pneumonia aspiration,168.0,clonus,0.09049513
142,biliary calculus,139.0,cushingoid facies,0.09048744
108,carcinoma colon,130.0,prostatism,0.09038403
101,oral candidiasis,223.0,throat sore,0.090193845
78,failure kidney,290.0,extreme exhaustion,0.09018986
127,effusion pericardial,92.0,hemodynamically stable,0.090162314
44,hyperlipidemia,199.0,photopsia,0.09010056
132,neutropenia,62.0,night sweat,0.09008668
37,epilepsy,128.0,drowsiness,0.0900251
89,colitis,315.0,nausea and vomiting,0.0898895
103,kidney disease,188.0,gravida 0,0.089714326
145,adhesion,20.0,vomiting,0.0896346
68,stenosis aortic valve,12.0,angina pectoris,0.08958238
33,deep vein thrombosis,85.0,swelling,0.08956574
6,coronary heart disease,9.0,sweating increased,0.08951116
73,overload fluid,17.0,rale,0.08939889
133,hyperbilirubinemia,164.0,breech presentation,0.08911193
57,transient ischemic attack,66.0,speech slurred,0.08902626
129,chronic alcoholic intoxication,383.0,hoard,0.08892629
109,ketoacidosis diabetic,11.0,nausea,0.08892229
24,primary malignant neoplasm,140.0,cushingoid habitus,0.08881963
31,systemic infection,60.0,tachypnea,0.088809
74,ulcer peptic,263.0,polymyalgia,0.08877675
144,ileus,402.0,catching breath,0.08869976
38,cardiomyopathy,1.0,pain chest,0.088684425
76,gastritis,11.0,nausea,0.08864599
144,ileus,84.0,abscess bacterial,0.08855613
117,manic disorder,24.0,hallucinations auditory,0.08854065
77,bacteremia,284.0,flushing,0.08851465
135,dependence,35.0,tremor,0.088360935
63,hernia,257.0,hyperventilation,0.0881978
110,tonic-clonic epilepsy,360.0,lip smacking,0.08819141
138,hernia hiatal,148.0,pain abdominal,0.08791763
116,carcinoma of lung,138.0,lesion,0.0877922
135,dependence,23.0,suicidal,0.08765968
98,tricuspid valve insufficiency,47.0,fever,0.08751383
114,gastroenteritis,11.0,nausea,0.08749516
122,spasm bronchial,2.0,shortness of breath,0.087472074
62,paroxysmal dyspnea,17.0,rale,0.08746075
28,cellulitis,47.0,fever,0.08742339
138,hernia hiatal,20.0,vomiting,0.08734834
125,pyelonephritis,20.0,vomiting,0.08721263
5,coronary arteriosclerosis,8.0,sweat,0.0872098
85,gout,78.0,pain,0.087077826
41,hepatitis C,191.0,ache,0.086994015
56,osteoporosis,236.0,hirsutism,0.08694305
124,obesity morbid,46.0,cough,0.08692711
20,degenerative polyarthritis,4.0,asthenia,0.086860046
129,chronic alcoholic intoxication,24.0,hallucinations auditory,0.086729996
35,neoplasm,1.0,pain chest,0.086455554
116,carcinoma of lung,46.0,cough,0.086393684
30,septicemia,59.0,distress respiratory,0.086386934
78,failure kidney,184.0,oliguria,0.08638144
32,sepsis (invertebrate),59.0,distress respiratory,0.08631529
67,lymphatic diseases,78.0,pain,0.08630843
74,ulcer peptic,239.0,out of breath,0.08628945
56,osteoporosis,5.0,fall,0.086220324
86,thrombocytopaenia,47.0,fever,0.08615652
13,infection,48.0,decreased translucency,0.086142644
129,chronic alcoholic intoxication,23.0,suicidal,0.086099386
61,incontinence,253.0,paraparesis,0.086045034
114,gastroenteritis,142.0,decreased body weight,0.08600728
114,gastroenteritis,142.0,decreased body weight,0.08600728
125,pyelonephritis,116.0,urgency of micturition,0.08597011
121,hemorrhoids,99.0,haemorrhage,0.08595147
128,pericardial effusion body substance,78.0,pain,0.08594127
18,insufficiency renal,116.0,urgency of micturition,0.08591134
14,infection urinary tract,90.0,lethargy,0.08587898
60,pancreatitis,83.0,diarrhea,0.08576608
132,neutropenia,106.0,transaminitis,0.08576098
10,asthma,57.0,wheezing,0.08556349
47,ischemia,1.0,pain chest,0.085555576
30,septicemia,47.0,fever,0.085512936
128,pericardial effusion body substance,167.0,cardiomegaly,0.08549057
36,embolism pulmonary,2.0,shortness of breath,0.08541475
16,chronic obstructive airway disease,107.0,sputum purulent,0.08540333
121,hemorrhoids,245.0,decreased stool caliber,0.085380346
140,pancytopenia,140.0,cushingoid habitus,0.08534847
44,hyperlipidemia,75.0,presence of q wave,0.08503665
28,cellulitis,78.0,pain,0.08494353
107,malignant tumor of colon,127.0,general discomfort,0.08488551
116,carcinoma of lung,189.0,lung nodule,0.08488033
17,dementia,5.0,fall,0.08478533
47,ischemia,128.0,drowsiness,0.0847584
112,respiratory failure,68.0,hemiplegia,0.08471582
87,hypoglycemia,312.0,claudication,0.08471536
82,hepatitis,148.0,pain abdominal,0.08470828
31,systemic infection,59.0,distress respiratory,0.08467487
6,coronary heart disease,13.0,pressure chest,0.084672265
117,manic disorder,202.0,hypersomnia,0.08464305
14,infection urinary tract,4.0,asthenia,0.08450149
94,parkinson disease,5.0,fall,0.08440091
96,hyperglycemia,139.0,cushingoid facies,0.08426958
125,pyelonephritis,53.0,chill,0.084121294
125,pyelonephritis,53.0,chill,0.084121294
107,malignant tumor of colon,163.0,constipation,0.08401834
62,paroxysmal dyspnea,1.0,pain chest,0.08386045
71,schizophrenia,37.0,verbal auditory hallucinations,0.08369812
41,hepatitis C,192.0,macerated skin,0.08366598
79,sickle cell anemia,224.0,snuffle,0.08359089
93,hepatitis B,148.0,pain abdominal,0.08336394
106,neoplasm metastasis,78.0,pain,0.08312694
56,osteoporosis,190.0,distended abdomen,0.08312449
25,acquired immuno-deficiency syndrome,62.0,night sweat,0.08302523
59,paranoia,23.0,suicidal,0.08300862
26,HIV,62.0,night sweat,0.08295402
32,sepsis (invertebrate),47.0,fever,0.08283933
115,malignant neoplasm of lung,46.0,cough,0.082835875
109,ketoacidosis diabetic,358.0,milky,0.082792
121,hemorrhoids,315.0,nausea and vomiting,0.0827462
87,hypoglycemia,313.0,clammy skin,0.08261806
111,tonic-clonic seizures,128.0,drowsiness,0.08259833
59,paranoia,24.0,hallucinations auditory,0.08248936
25,acquired immuno-deficiency syndrome,150.0,spontaneous rupture of membranes,0.08247252
1,hypertensive disease,4.0,asthenia,0.08244794
141,cholelithiasis,140.0,cushingoid habitus,0.08239483
113,melanoma,271.0,mass in breast,0.08223844
16,chronic obstructive airway disease,59.0,distress respiratory,0.082178615
42,peripheral vascular disease,18.0,unresponsiveness,0.0820344
80,failure heart,2.0,shortness of breath,0.08200852
9,accident cerebrovascular,18.0,unresponsiveness,0.08199559
47,ischemia,12.0,angina pectoris,0.08199511
63,hernia,148.0,pain abdominal,0.08193029
63,hernia,258.0,excruciating pain,0.08189796
26,HIV,150.0,spontaneous rupture of membranes,0.08189626
115,malignant neoplasm of lung,189.0,lung nodule,0.08175259
135,dependence,130.0,prostatism,0.081643425
5,coronary arteriosclerosis,9.0,sweating increased,0.08163996
132,neutropenia,224.0,snuffle,0.08162644
112,respiratory failure,60.0,tachypnea,0.081584714
147,affect labile,32.0,hallucinations visual,0.081556715
84,deglutition disorder,65.0,dysarthria,0.081496865
117,manic disorder,22.0,feeling suicidal,0.08149433
117,manic disorder,22.0,feeling suicidal,0.08149433
102,neuropathy,332.0,superimposition,0.08146879
96,hyperglycemia,158.0,sore to touch,0.081404194
53,arthritis,85.0,swelling,0.08130807
89,colitis,78.0,pain,0.08128803
108,carcinoma colon,163.0,constipation,0.08127479
108,carcinoma colon,127.0,general discomfort,0.0812621
71,schizophrenia,34.0,agitation,0.08126025
66,edema pulmonary,16.0,orthopnea,0.08092185
135,dependence,34.0,agitation,0.08087268
27,hiv infections,62.0,night sweat,0.080871955
80,failure heart,16.0,orthopnea,0.08080429
147,affect labile,25.0,feeling hopeless,0.080791734
54,bronchitis,46.0,cough,0.08077182
58,adenocarcinoma,163.0,constipation,0.08070039
60,pancreatitis,251.0,stool color yellow,0.080666274
36,embolism pulmonary,1.0,pain chest,0.08055382
67,lymphatic diseases,133.0,mass of body structure,0.080425344
142,biliary calculus,140.0,cushingoid habitus,0.08041239
90,diverticulosis,102.0,heme positive,0.080337174
131,delirium,91.0,hyponatremia,0.08032499
127,effusion pericardial,167.0,cardiomegaly,0.08032452
128,pericardial effusion body substance,118.0,hypotension,0.08021781
2,diabetes,2.0,shortness of breath,0.08021067
67,lymphatic diseases,47.0,fever,0.08011505
27,hiv infections,150.0,spontaneous rupture of membranes,0.08010054
58,adenocarcinoma,245.0,decreased stool caliber,0.079986684
18,insufficiency renal,16.0,orthopnea,0.07989979
61,incontinence,69.0,seizure,0.079812974
105,glaucoma,34.0,agitation,0.07963292
114,gastroenteritis,366.0,scleral icterus,0.079499476
89,colitis,20.0,vomiting,0.07931191
113,melanoma,82.0,pruritus,0.07929442
24,primary malignant neoplasm,138.0,lesion,0.079205856
24,primary malignant neoplasm,141.0,emphysematous change,0.0791279
79,sickle cell anemia,148.0,pain abdominal,0.07903878
90,diverticulosis,84.0,abscess bacterial,0.07898644
73,overload fluid,128.0,drowsiness,0.078911036
138,hernia hiatal,11.0,nausea,0.07885304
25,acquired immuno-deficiency syndrome,46.0,cough,0.07877129
139,migraine disorders,47.0,fever,0.07864662
122,spasm bronchial,376.0,no known drug allergies,0.07859651
57,transient ischemic attack,4.0,asthenia,0.07849018
56,osteoporosis,239.0,out of breath,0.078101665
80,failure heart,293.0,pansystolic murmur,0.078023575
115,malignant neoplasm of lung,138.0,lesion,0.078018755
133,hyperbilirubinemia,139.0,cushingoid facies,0.07791604
57,transient ischemic attack,65.0,dysarthria,0.07785537
127,effusion pericardial,118.0,hypotension,0.07781644
102,neuropathy,346.0,fatigability,0.07779778
33,deep vein thrombosis,167.0,cardiomegaly,0.07779383
80,failure heart,63.0,jugular venous distention,0.077790275
13,infection,82.0,pruritus,0.07760687
38,cardiomyopathy,43.0,hypokinesia,0.07760592
130,pneumothorax,109.0,hypercapnia,0.07736789
28,cellulitis,154.0,redness,0.07736697
143,tachycardia sinus,13.0,pressure chest,0.07735671
38,cardiomyopathy,63.0,jugular venous distention,0.07731906
131,delirium,18.0,unresponsiveness,0.07727417
52,mitral valve insufficiency,43.0,hypokinesia,0.07712936
125,pyelonephritis,83.0,diarrhea,0.076839045
76,gastritis,99.0,haemorrhage,0.0768344
8,failure heart congestive,46.0,cough,0.07676721
111,tonic-clonic seizures,180.0,myoclonus,0.07676412
10,asthma,56.0,non-productive cough,0.07670846
16,chronic obstructive airway disease,108.0,hypoxemia,0.07669372
123,aphasia,235.0,paralyse,0.076457225
145,adhesion,2.0,shortness of breath,0.07642467
129,chronic alcoholic intoxication,29.0,irritable mood,0.07636095
109,ketoacidosis diabetic,148.0,pain abdominal,0.076277524
66,edema pulmonary,63.0,jugular venous distention,0.07625726
104,fibroid tumor,152.0,muscle hypotonia,0.0761288
141,cholelithiasis,117.0,ascites,0.076089635
50,benign prostatic hypertrophy,62.0,night sweat,0.07583796
114,gastroenteritis,158.0,sore to touch,0.07577336
48,cirrhosis,98.0,tumor cell invasion,0.07570742
110,tonic-clonic epilepsy,128.0,drowsiness,0.07570049
53,arthritis,6.0,syncope,0.075685926
63,hernia,259.0,gag,0.07559812
52,mitral valve insufficiency,44.0,dyspnea on exertion,0.07557535
46,obesity,2.0,shortness of breath,0.07556359
96,hyperglycemia,142.0,decreased body weight,0.07549819
51,kidney failure acute,115.0,hyperkalemia,0.0754145
137,cholecystitis,394.0,flatulence,0.07540704
129,chronic alcoholic intoxication,22.0,feeling suicidal,0.07540225
17,dementia,97.0,ecchymosis,0.07534369
112,respiratory failure,18.0,unresponsiveness,0.07532389
61,incontinence,4.0,asthenia,0.0751743
12,hypercholesterolemia,79.0,nonsmoker,0.07516335
10,asthma,50.0,pleuritic pain,0.075137585
20,degenerative polyarthritis,78.0,pain,0.07512872
137,cholecystitis,148.0,pain abdominal,0.07509087
50,benign prostatic hypertrophy,19.0,mental status changes,0.074975334
71,schizophrenia,110.0,patient non compliance,0.07496194
116,carcinoma of lung,337.0,debilitation,0.074920245
2,diabetes,16.0,orthopnea,0.0748988
37,epilepsy,35.0,tremor,0.07483351
38,cardiomyopathy,64.0,dyspnea,0.07481054
94,parkinson disease,196.0,withdraw,0.07466167
114,gastroenteritis,47.0,fever,0.07457935
82,hepatitis,47.0,fever,0.07457421
111,tonic-clonic seizures,361.0,phonophobia,0.07449788
59,paranoia,22.0,feeling suicidal,0.07447945
42,peripheral vascular disease,64.0,dyspnea,0.0744254
24,primary malignant neoplasm,88.0,hematuria,0.07436241
27,hiv infections,46.0,cough,0.074300766
74,ulcer peptic,1.0,pain chest,0.07428571
76,gastritis,36.0,intoxication,0.0742789
105,glaucoma,187.0,paresthesia,0.07421558
31,systemic infection,90.0,lethargy,0.0742053
110,tonic-clonic epilepsy,180.0,myoclonus,0.07418899
125,pyelonephritis,11.0,nausea,0.074183136
52,mitral valve insufficiency,64.0,dyspnea,0.074118994
137,cholecystitis,393.0,Murphy's sign,0.07400531
96,hyperglycemia,140.0,cushingoid habitus,0.07385304
37,epilepsy,121.0,muscle twitch,0.07383561
11,myocardial infarction,72.0,st segment elevation,0.07377
28,cellulitis,85.0,swelling,0.07372856
114,gastroenteritis,148.0,pain abdominal,0.07362558
124,obesity morbid,186.0,unhappy,0.07357476
142,biliary calculus,117.0,ascites,0.073561706
143,tachycardia sinus,9.0,sweating increased,0.07350745
120,emphysema pulmonary,372.0,behavior showing increased motor activity,0.07345686
44,hyperlipidemia,8.0,sweat,0.073448874
44,hyperlipidemia,9.0,sweating increased,0.073436156
119,primary carcinoma of the liver cells,133.0,mass of body structure,0.073433265
78,failure kidney,2.0,shortness of breath,0.07334328
49,exanthema,154.0,redness,0.07333015
